                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.50655,                0.36643,                0.82449,                0.84939,                0.66734,                0.69415,                0.59219,                0.42847,                0.32374,                0.81984,              0.0001288,              0.0001288,              0.0001288
                     90,                0.52031,                0.40314,                0.81613,                0.88866,                0.60203,                0.67555,                0.56635,                0.43644,                0.33243,                0.82077,              0.0001189,              0.0001189,              0.0001189
                     91,                0.51655,                0.37996,                0.81277,                0.89263,                0.58116,                0.66342,                0.55044,                 0.4376,                0.33673,                0.81896,               0.000109,               0.000109,               0.000109
                     92,                0.51132,                0.36729,                0.81213,                0.83413,                0.61645,                0.67218,                0.55332,                0.43845,                0.33269,                0.81862,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 0.5084,                0.36364,                0.81042,                0.82604,                0.63728,                0.67129,                0.55572,                0.44312,                0.33985,                0.81858,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                 0.5033,                0.35946,                0.81102,                0.81577,                0.63208,                 0.6605,                0.54945,                0.43464,                0.33254,                0.81867,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.50494,                0.36564,                0.80946,                0.81376,                0.63071,                0.65613,                0.54263,                0.43445,                0.33099,                0.81975,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.48511,                0.35149,                0.81026,                0.86627,                0.62342,                0.67694,                0.55858,                0.43372,                0.32799,                0.81871,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.49127,                0.34814,                0.80906,                0.82222,                0.62322,                0.64671,                 0.5344,                0.42832,                0.32345,                0.81809,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 0.4937,                0.34681,                0.81722,                0.83584,                0.62019,                0.65888,                0.54568,                0.42788,                0.32196,                0.81793,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.49093,                0.34959,                0.80674,                0.85118,                0.63034,                0.65804,                0.54679,                0.42648,                0.32042,                0.81811,               2.98e-05,               2.98e-05,               2.98e-05
